process_type,level,lambda2_true,p_scaling,p_curved,p_mono,p_mrw,p_boundary,zeta_mae,seed,source_table
Low-lambda2 MRW,analytic,0.02,0.9925685524940492,0.2833646535873413,0.6716573238372803,0.3522787690162658,0.9870397448539734,0.0,2024,failure_attribution_summary
Low-lambda2 MRW,deterministic,0.02,0.9961176365613936,0.0246978839277289,0.965911604464054,0.1338912514038384,0.0509978997215512,1.0422342270612717,2024,failure_attribution_summary
Low-lambda2 MRW,neural,0.02,0.9936070740222932,0.1615681757684797,0.8494535554200411,0.273781496565789,0.1372036595421377,0.0419768069405108,2024,failure_attribution_summary
MRW,analytic,0.12,0.9948760867118835,0.8743001818656921,0.1985239684581756,0.9306429624557496,2.099051670256813e-07,0.0,2024,failure_attribution_summary
MRW,deterministic,0.12,0.9947794750332832,0.0436043513473123,0.940565936267376,0.1570160910487175,0.2166720221284777,1.0252166986465454,2024,failure_attribution_summary
MRW,neural,0.12,0.9926822260022165,0.0690866441000253,0.9244236089289188,0.1793731953948736,0.1627380686113611,0.0722663139458745,2024,failure_attribution_summary
fGn,analytic,0.0,0.9945580959320068,0.0266654919832944,0.9681515097618104,0.1315139830112457,0.0100728413090109,0.0,2024,failure_attribution_summary
fGn,deterministic,0.0,0.995882786810398,0.0281117397826164,0.9607234336435796,0.136095960624516,0.1014600863709347,1.0438910126686096,2024,failure_attribution_summary
fGn,neural,0.0,0.993247665464878,0.2044447360094636,0.8138986211270094,0.3217676132917404,0.151686041848734,0.0412738635204732,2024,failure_attribution_summary
iid Gaussian,analytic,0.0,0.9956159591674804,0.022684147581458,0.972271203994751,0.1251971125602722,0.0057196337729692,0.0,2024,failure_attribution_summary
iid Gaussian,deterministic,0.0,0.993859264999628,0.0352106625214219,0.9513396508991718,0.1448462530970573,0.1402304503972118,0.8752756230533123,2024,failure_attribution_summary
iid Gaussian,neural,0.0,0.9961140006780624,0.0288075304124504,0.9661094844341278,0.1251307823695242,0.07085110686603,0.0400268658413551,2024,failure_attribution_summary
Low-lambda2 MRW,analytic,0.02,0.9925685524940492,0.2833646535873413,0.6716573238372803,0.3522787690162658,0.9870397448539734,0.0,2025,failure_attribution_summary
Low-lambda2 MRW,deterministic,0.02,0.9959204271435738,0.0294804817531257,0.9593438804149628,0.1393739087507128,0.1289408282173099,1.0345016717910769,2025,failure_attribution_summary
Low-lambda2 MRW,neural,0.02,0.9937302395701408,0.0860856886720284,0.914012849330902,0.1865741801448166,0.0709629578486783,0.0387981990352273,2025,failure_attribution_summary
MRW,analytic,0.12,0.9948760867118835,0.8743001818656921,0.1985239684581756,0.9306429624557496,2.099051670256813e-07,0.0,2025,failure_attribution_summary
MRW,deterministic,0.12,0.9962747469544412,0.026526371424552,0.9635950960218906,0.1335720419883728,0.0604364562386763,1.0225484669208529,2025,failure_attribution_summary
MRW,neural,0.12,0.9937855340540408,0.1043026680126786,0.8978267814964056,0.2117712176404893,0.1199683191953226,0.0720573214348405,2025,failure_attribution_summary
fGn,analytic,0.0,0.9945580959320068,0.0266654919832944,0.9681515097618104,0.1315139830112457,0.0100728413090109,0.0,2025,failure_attribution_summary
fGn,deterministic,0.0,0.9954140968620776,0.0393131526652723,0.9452007822692394,0.1530164103023708,0.2278378929477185,1.040366247296333,2025,failure_attribution_summary
fGn,neural,0.0,0.9927709512412548,0.1579663172597065,0.849635349586606,0.2746099322102964,0.1877084169536829,0.042943121807184,2025,failure_attribution_summary
iid Gaussian,analytic,0.0,0.9956159591674804,0.022684147581458,0.972271203994751,0.1251971125602722,0.0057196337729692,0.0,2025,failure_attribution_summary
iid Gaussian,deterministic,0.0,0.993756715208292,0.0300527072977274,0.9579194374382496,0.1414172663353383,0.1165381680475547,0.878316905349493,2025,failure_attribution_summary
iid Gaussian,neural,0.0,0.9962513744831084,0.0205095323035493,0.9748621620237828,0.1152963782660663,0.0100757921754848,0.0375380418263375,2025,failure_attribution_summary
Low-lambda2 MRW,analytic,0.02,0.9925685524940492,0.2833646535873413,0.6716573238372803,0.3522787690162658,0.9870397448539734,0.0,2026,failure_attribution_summary
Low-lambda2 MRW,deterministic,0.02,0.9964577965438366,0.0276435259729623,0.961755819618702,0.1378766228444874,0.1015558802027953,1.0383579805493357,2026,failure_attribution_summary
Low-lambda2 MRW,neural,0.02,0.9933273606002332,0.1856444088043645,0.827946163713932,0.3045310191810131,0.158114263380412,0.044548648991622,2026,failure_attribution_summary
MRW,analytic,0.12,0.9948760867118835,0.8743001818656921,0.1985239684581756,0.9306429624557496,2.099051670256813e-07,0.0,2026,failure_attribution_summary
MRW,deterministic,0.12,0.9962053336203098,0.0250523611321114,0.9655603058636189,0.1323535474948585,0.0711053732375148,1.0205380618572235,2026,failure_attribution_summary
MRW,neural,0.12,0.9930369555950164,0.2100288065848872,0.8089425526559353,0.3335670190863311,0.1051678511430509,0.0699363194871693,2026,failure_attribution_summary
fGn,analytic,0.0,0.9945580959320068,0.0266654919832944,0.9681515097618104,0.1315139830112457,0.0100728413090109,0.0,2026,failure_attribution_summary
fGn,deterministic,0.0,0.9962289221584796,0.0282249845913611,0.9603598900139332,0.1351970545947551,0.1123459191949223,1.0414459705352783,2026,failure_attribution_summary
fGn,neural,0.0,0.9931283295154572,0.1848633863264694,0.8299884889274836,0.3019206305034458,0.1476457061071414,0.0367013084469363,2026,failure_attribution_summary
iid Gaussian,analytic,0.0,0.9956159591674804,0.022684147581458,0.972271203994751,0.1251971125602722,0.0057196337729692,0.0,2026,failure_attribution_summary
iid Gaussian,deterministic,0.0,0.9940209984779358,0.0279303060378879,0.9608613215386868,0.1385276499204337,0.0925139134451455,0.8775163292884827,2026,failure_attribution_summary
iid Gaussian,neural,0.0,0.9961902685463428,0.0222172111389227,0.973089337348938,0.1177597884088754,0.0193683091929415,0.0394937460660003,2026,failure_attribution_summary
