spectrum_type,lambda2_true,p_scaling,p_curved,p_mono,p_mrw,p_boundary,seed,source_table
ambiguous_mild_curvature,0.0412959590554237,0.7545954410235087,0.4434937779108683,0.5135827394326528,0.4298975936571757,0.4595986878871917,2024,spectral_geometry_summary
boundary_mrw,0.0177038961028059,0.992380259037018,0.2730025164286295,0.6869575826327006,0.3495059498151143,0.978281393845876,2024,spectral_geometry_summary
curved_mrw,0.1305427760879198,0.9938318800926208,0.8855017407735188,0.1818823382258415,0.9341388209660848,0.0001951156586885,2024,spectral_geometry_summary
heavy_tail_distorted,0.0,0.4514314103126526,0.3441068299611409,0.3503291809558868,0.051718181669712,4.107119072462713e-05,2024,spectral_geometry_summary
linear_mono,0.0,0.9953294038772584,0.0245407968511184,0.9703544759750368,0.1279739069938659,0.0088041853904724,2024,spectral_geometry_summary
noisy_mono,0.0,0.9551527937253316,0.1671946302056312,0.8165883564949036,0.2600232050816218,0.1934907319645087,2024,spectral_geometry_summary
noisy_mrw,0.0710841451088587,0.951468025048574,0.5181259876489639,0.4996167885263761,0.5803678651650747,0.1719920825796789,2024,spectral_geometry_summary
regime_apparent,0.0,0.5500668406486511,0.4436676212151845,0.3519724142551422,0.1261570023496945,0.0044171625127395,2024,spectral_geometry_summary
ambiguous_mild_curvature,0.0385073489447434,0.7553328100840251,0.4366167871157328,0.5211867241064707,0.4240035315354665,0.4612876319885254,2025,spectral_geometry_summary
boundary_mrw,0.0179457895768185,0.9930460063616434,0.2767417740821838,0.6838472167650859,0.3538895241419474,0.9800877507527668,2025,spectral_geometry_summary
curved_mrw,0.1386627093454202,0.9935347239176432,0.8955909665425619,0.1690631126364072,0.940446921189626,0.0008654586354263,2025,spectral_geometry_summary
heavy_tail_distorted,0.0,0.4493331321080526,0.3427706245581309,0.3541598129272461,0.0556324312339226,4.020938859563709e-05,2025,spectral_geometry_summary
linear_mono,0.0,0.9947153973579408,0.0264076495915651,0.9681114308039348,0.1304576926430066,0.0110514132957905,2025,spectral_geometry_summary
noisy_mono,0.0,0.9554314303398131,0.1681046333909034,0.8164095703760783,0.2612170726060867,0.1860303456584612,2025,spectral_geometry_summary
noisy_mrw,0.0680706204225619,0.9487060928344726,0.5019282561540603,0.511999767223994,0.5628314922253291,0.2197436413096717,2025,spectral_geometry_summary
regime_apparent,0.0,0.5494017235438029,0.44372101465861,0.3522648994127909,0.1267020739118258,0.0046873301190013,2025,spectral_geometry_summary
ambiguous_mild_curvature,0.0394691968212525,0.7549837835629781,0.4423787752787272,0.5150938260555268,0.4289675696690877,0.4588513207435608,2026,spectral_geometry_summary
boundary_mrw,0.0183807771280407,0.9927419447898864,0.2792195852597554,0.681315484046936,0.355139642159144,0.9793637657165528,2026,spectral_geometry_summary
curved_mrw,0.1404091290632883,0.9933060383796692,0.8986771496136984,0.1649179896712303,0.9423483260472616,0.0007534119740499,2026,spectral_geometry_summary
heavy_tail_distorted,0.0,0.4501745506127675,0.3437257504463196,0.3515464357535044,0.053937681565682,2.9459521305549665e-05,2026,spectral_geometry_summary
linear_mono,0.0,0.9952394167582194,0.0247174869229396,0.9701251800855,0.1282111529509226,0.0087997763417661,2026,spectral_geometry_summary
noisy_mono,0.0,0.9543912927309672,0.1652140364050865,0.8178048761685689,0.2589190238714218,0.1819033989310264,2026,spectral_geometry_summary
noisy_mrw,0.0686654865555465,0.948579740524292,0.502659395734469,0.5111028051376343,0.5634019442399343,0.2177845755654637,2026,spectral_geometry_summary
regime_apparent,0.0,0.5493333903948466,0.4409972031911214,0.3529217088222504,0.1227202197909355,0.0035770169963749,2026,spectral_geometry_summary
