spectrum_type,mean_value,std_value,n_seeds,metric
ambiguous_mild_curvature,0.03975750160713987,0.0014164837890075822,3,lambda2_true
boundary_mrw,0.0180101542692217,0.0003430001323641836,3,lambda2_true
curved_mrw,0.13653820483220944,0.005265108719545149,3,lambda2_true
heavy_tail_distorted,0.0,0.0,3,lambda2_true
linear_mono,0.0,0.0,3,lambda2_true
noisy_mono,0.0,0.0,3,lambda2_true
noisy_mrw,0.06927341736232236,0.0015960945016196288,3,lambda2_true
regime_apparent,0.0,0.0,3,lambda2_true
ambiguous_mild_curvature,0.754970678223504,0.00036885918084513463,3,p_scaling
boundary_mrw,0.9927227367295158,0.00033328904459774413,3,p_scaling
curved_mrw,0.9935575474633112,0.0002636627816882595,3,p_scaling
heavy_tail_distorted,0.4503130310111576,0.0010559713402969477,3,p_scaling
linear_mono,0.9950947393311395,0.00033158659483002175,3,p_scaling
noisy_mono,0.9549918389320373,0.0005384249209009752,3,p_scaling
noisy_mrw,0.9495846194691128,0.0016323001130708536,3,p_scaling
regime_apparent,0.5496006515291002,0.0004051747477352023,3,p_scaling
ambiguous_mild_curvature,0.44082978010177615,0.0036909064120833374,3,p_curved
boundary_mrw,0.2763212919235229,0.0031297907513208206,3,p_curved
curved_mrw,0.893256618976593,0.006890916734769675,3,p_curved
heavy_tail_distorted,0.3435344016551971,0.0006883472885515584,3,p_curved
linear_mono,0.025221977788541034,0.0010306153810878242,3,p_curved
noisy_mono,0.16683776666720704,0.0014779720641459723,3,p_curved
noisy_mrw,0.5075712131791644,0.00914801013077478,3,p_curved
regime_apparent,0.4427952796883053,0.0015574087556721068,3,p_curved
ambiguous_mild_curvature,0.5166210965315501,0.004025489046080499,3,p_mono
boundary_mrw,0.6840400944815741,0.00282599017567467,3,p_mono
curved_mrw,0.17195448017782633,0.008844053661374057,3,p_mono
heavy_tail_distorted,0.3520118098788791,0.001957259597607365,3,p_mono
linear_mono,0.9695303622881571,0.001234167358557086,3,p_mono
noisy_mono,0.8169342676798502,0.000759249942076325,3,p_mono
noisy_mrw,0.5075731202960014,0.0069049653632262615,3,p_mono
regime_apparent,0.35238634083006115,0.00048615949765147835,3,p_mono
ambiguous_mild_curvature,0.42762289828724337,0.0031687691486609526,3,p_mrw
boundary_mrw,0.3528450387054019,0.002958519009092472,3,p_mrw
curved_mrw,0.9389780227343242,0.004297352722718721,3,p_mrw
heavy_tail_distorted,0.05376276482310554,0.0019629784290347897,3,p_mrw
linear_mono,0.12888091752926503,0.0013706699932956063,3,p_mrw
noisy_mono,0.2600531005197101,0.0011493160138263032,3,p_mrw
noisy_mrw,0.568867100543446,0.009964037536903421,3,p_mrw
regime_apparent,0.12519309868415193,0.0021588476711772797,3,p_mrw
ambiguous_mild_curvature,0.45991254687309263,0.0012481120614185003,3,p_boundary
boundary_mrw,0.9792443034383985,0.0009090845646552539,3,p_boundary
curved_mrw,0.0006046620893882334,0.0003590749542304057,3,p_boundary
heavy_tail_distorted,3.6913366875271296e-05,6.46958546278871e-06,3,p_boundary
linear_mono,0.009551791676009667,0.0012987122898522176,3,p_boundary
noisy_mono,0.18714149218466544,0.005873036408811828,3,p_boundary
noisy_mrw,0.20317343315160477,0.027021601585852345,3,p_boundary
regime_apparent,0.004227169876038567,0.0005790265184510349,3,p_boundary
