noise_level,pmrw_gap_curved_minus_linear,seed,source_table
0.0,0.8032361038029194,2024,separation_margin_vs_noise
0.005,0.79066214847068,2024,separation_margin_vs_noise
0.01,0.7918017774199446,2024,separation_margin_vs_noise
0.02,0.784456642717123,2024,separation_margin_vs_noise
0.05,0.6576576882352432,2024,separation_margin_vs_noise
0.1,0.3239267618705829,2024,separation_margin_vs_noise
0.0,0.803343404084444,2025,separation_margin_vs_noise
0.005,0.7920258448148767,2025,separation_margin_vs_noise
0.01,0.7908679517606895,2025,separation_margin_vs_noise
0.02,0.7707460679113866,2025,separation_margin_vs_noise
0.05,0.6045471854507924,2025,separation_margin_vs_noise
0.1,0.43277564017723,2025,separation_margin_vs_noise
0.0,0.8053953578074773,2026,separation_margin_vs_noise
0.005,0.7876838988934953,2026,separation_margin_vs_noise
0.01,0.7927335502579809,2026,separation_margin_vs_noise
0.02,0.7628463845079143,2026,separation_margin_vs_noise
0.05,0.6068431188041965,2026,separation_margin_vs_noise
0.1,0.3380711785207192,2026,separation_margin_vs_noise
