T,estimator,lambda2_mae,lambda2_rmse,lambda2_corr,lambda2_spearman,high_lambda_detection_rate,boundary_accuracy,mean_mrw_vs_mono_gain,warning_rate
512,structure_bootstrap,0.0821094131377428,0.1113465602463595,-0.1772363498706005,-0.1759315024425382,0.0,0.25,0.1459302984355114,0.8020833333333334
512,structure_ols,0.081611333561738,0.111133535935037,-0.1249145698123986,-0.1232218657980476,0.0,0.25,0.2064294118026737,0.8020833333333334
512,structure_smoothed,0.0821071951277372,0.111407436814687,-0.169371756593245,-0.1763201817154977,0.0,0.25,0.1562253104148112,0.8020833333333334
512,structure_trimmed,0.0821094131377428,0.1113465602463595,-0.1772363498706005,-0.1759315024425382,0.0,0.25,0.1459302984355114,0.8020833333333334
1024,structure_bootstrap,0.0804707572115259,0.1106686553100538,0.1360048671542245,0.1678135337623909,0.0,0.25,0.1768229607041576,0.75
1024,structure_ols,0.0808952738994048,0.1113093571171339,-0.0215494314012509,0.0441914009014688,0.0,0.25,0.2092898471661707,0.75
1024,structure_smoothed,0.0805445579004329,0.1107379309591847,0.1365837034078772,0.173023589819864,0.0,0.25,0.1817616657293304,0.75
1024,structure_trimmed,0.0804707572115259,0.1106686553100538,0.1360048671542245,0.1678135337623909,0.0,0.25,0.1768229607041576,0.75
2048,structure_bootstrap,0.0819296766370816,0.1119380916452489,-0.0506514719684766,-0.06492175763255,0.0,0.25,0.1832402047663587,0.65625
2048,structure_ols,0.081996838936191,0.1121156397039043,-0.052684225408876,-0.1382314204558141,0.0,0.25,0.1921686251019612,0.65625
2048,structure_smoothed,0.0819715778298086,0.1119986131368335,-0.0512913204179675,-0.0449754189060212,0.0,0.25,0.1878511267689949,0.65625
2048,structure_trimmed,0.0819296766370816,0.1119380916452489,-0.0506514719684766,-0.06492175763255,0.0,0.25,0.1832402047663587,0.65625
